holiday,workingday,weathersit,atemp,hum,windspeed,cnt
0,1,1,0.2576,0.48,0.1045,54
0,1,1,0.2727,0.64,0.0,48
0,1,1,0.2576,0.64,0.0896,35
0,1,1,0.2273,0.69,0.0896,11
0,1,1,0.2576,0.64,0.0,6
0,1,1,0.19699999999999998,0.74,0.0896,6
0,1,1,0.19699999999999998,0.74,0.0896,2
0,1,1,0.2273,0.48,0.2239,2
0,1,1,0.2273,0.47,0.1642,3
0,1,1,0.19699999999999998,0.47,0.2239,33
0,1,1,0.1818,0.43,0.19399999999999998,88
0,1,1,0.1818,0.4,0.2985,195
0,1,1,0.19699999999999998,0.37,0.3284,115
0,1,1,0.19699999999999998,0.37,0.3284,57
0,1,1,0.2273,0.33,0.3284,46
0,1,1,0.2273,0.33,0.3284,79
0,1,1,0.2576,0.3,0.2985,71
0,1,1,0.2879,0.28,0.19399999999999998,62
0,1,1,0.2879,0.28,0.19399999999999998,62
0,1,1,0.3182,0.28,0.0896,89
0,1,1,0.2273,0.38,0.19399999999999998,190
0,1,1,0.2424,0.38,0.1343,169
0,1,1,0.2576,0.38,0.1045,132
0,1,1,0.2273,0.47,0.1642,89
0,1,1,0.19699999999999998,0.51,0.19399999999999998,43
0,1,1,0.19699999999999998,0.55,0.1343,42
0,1,1,0.2576,0.47,0.0,19
0,1,1,0.2424,0.55,0.0,11
0,1,1,0.2273,0.64,0.0,4
0,1,1,0.2273,0.64,0.0,2
0,1,2,0.19699999999999998,0.64,0.0896,1
0,1,2,0.1818,0.69,0.0896,4
0,1,2,0.1667,0.63,0.1045,36
0,1,2,0.2273,0.59,0.0,95
0,1,1,0.2273,0.59,0.0,219
0,1,2,0.2424,0.51,0.0,122
0,1,1,0.2576,0.47,0.0,45
0,1,1,0.2576,0.44,0.0896,59
0,1,1,0.2879,0.35,0.0,84
0,1,1,0.2727,0.35,0.1045,67
0,1,1,0.2727,0.36,0.1642,70
0,1,1,0.2727,0.36,0.0,62
0,1,1,0.2576,0.38,0.1642,86
0,1,1,0.2273,0.51,0.1642,172
0,1,1,0.2273,0.51,0.1343,163
0,1,1,0.2576,0.55,0.0896,112
0,1,1,0.2121,0.51,0.1642,69
0,1,2,0.2121,0.55,0.2239,48
0,1,2,0.2121,0.51,0.2836,52
0,1,2,0.19699999999999998,0.59,0.19399999999999998,23
0,1,2,0.19699999999999998,0.64,0.19399999999999998,17
0,1,2,0.19699999999999998,0.69,0.2239,7
0,1,2,0.19699999999999998,0.69,0.2239,1
0,1,2,0.2121,0.69,0.1343,1
0,1,3,0.2727,0.55,0.0,5
0,1,2,0.2576,0.69,0.0,34
0,1,1,0.2121,0.69,0.1343,84
0,1,1,0.19699999999999998,0.51,0.2537,210
0,1,1,0.1818,0.47,0.2985,134
0,1,1,0.19699999999999998,0.37,0.3284,63
0,1,2,0.19699999999999998,0.4,0.2239,67
0,1,2,0.19699999999999998,0.37,0.2537,59
0,1,2,0.1818,0.37,0.2836,73
0,1,2,0.19699999999999998,0.4,0.2537,50
0,1,2,0.2121,0.37,0.1642,72
0,1,2,0.2121,0.37,0.1642,87
0,1,2,0.2576,0.37,0.0,187
0,1,1,0.2273,0.4,0.0896,123
0,1,1,0.19699999999999998,0.55,0.0896,95
0,1,1,0.2121,0.47,0.1045,51
0,1,1,0.19699999999999998,0.47,0.1343,39
0,1,2,0.19699999999999998,0.43,0.1642,36
0,1,2,0.19699999999999998,0.51,0.1642,15
0,0,2,0.19699999999999998,0.51,0.1642,25
0,0,2,0.2121,0.55,0.0896,16
0,0,2,0.2424,0.55,0.0,16
0,0,3,0.19699999999999998,0.55,0.1642,7
0,0,3,0.19699999999999998,0.55,0.1642,1
0,0,2,0.1667,0.74,0.1642,5
0,0,2,0.1667,0.74,0.1642,2
0,0,2,0.1818,0.74,0.1045,9
0,0,3,0.1818,0.93,0.1045,15
0,0,3,0.1818,0.93,0.1045,20
0,0,2,0.19699999999999998,0.8,0.1642,61
0,0,2,0.1818,0.69,0.3881,62
0,0,2,0.1818,0.59,0.3582,98
0,0,1,0.1818,0.44,0.3284,102
0,0,1,0.1667,0.32,0.4925,95
0,0,1,0.1667,0.32,0.4478,74
0,0,1,0.1364,0.29,0.4478,76
0,0,1,0.1212,0.37,0.5522,69
0,0,1,0.1212,0.39,0.2985,55
0,0,1,0.1212,0.36,0.2537,30
0,0,1,0.1212,0.36,0.2537,28
0,0,1,0.1061,0.39,0.3582,37
0,0,1,0.1061,0.36,0.3881,34
0,0,1,0.0606,0.39,0.4478,22
0,0,1,0.0758,0.42,0.3881,25
0,0,1,0.0606,0.42,0.4627,12
0,0,1,0.0606,0.46,0.4627,11
0,0,1,0.0758,0.46,0.4179,4
0,0,1,0.0909,0.53,0.19399999999999998,1
0,0,1,0.0909,0.53,0.19399999999999998,1
0,0,1,0.0909,0.49,0.2836,1
0,0,1,0.0909,0.53,0.19399999999999998,6
0,0,1,0.0909,0.49,0.2836,10
0,0,1,0.0758,0.46,0.5224,19
0,0,1,0.1061,0.43,0.3881,49
0,0,1,0.1212,0.4,0.5224,49
0,0,1,0.1364,0.37,0.4478,83
0,0,1,0.1667,0.34,0.4478,75
0,0,1,0.1818,0.32,0.4627,72
0,0,1,0.19699999999999998,0.35,0.3582,82
0,0,1,0.1667,0.34,0.4478,92
0,0,1,0.1515,0.37,0.3881,62
0,0,1,0.1364,0.4,0.3284,48
0,0,1,0.1364,0.43,0.3284,41
0,0,1,0.1212,0.46,0.2537,38
0,0,1,0.1061,0.46,0.4179,20
0,0,1,0.1212,0.46,0.2985,15
0,0,1,0.1364,0.5,0.19399999999999998,6
0,1,1,0.1212,0.5,0.2836,5
0,1,1,0.1212,0.5,0.2836,1
0,1,1,0.1212,0.5,0.2239,3
0,1,1,0.1212,0.5,0.2239,1
0,1,1,0.1212,0.54,0.1343,3
0,1,1,0.1061,0.54,0.2537,3
0,1,1,0.1212,0.5,0.2836,31
0,1,1,0.1212,0.5,0.2239,77
0,1,2,0.1212,0.5,0.2836,188
0,1,2,0.1212,0.5,0.2537,94
0,1,2,0.1212,0.5,0.2985,31
0,1,2,0.1364,0.47,0.2836,30
0,1,2,0.1818,0.4,0.2836,52
0,1,2,0.1818,0.4,0.2836,54
0,1,2,0.19699999999999998,0.4,0.2239,47
0,1,2,0.19699999999999998,0.4,0.2239,45
0,1,1,0.2121,0.4,0.1343,74
0,1,1,0.2273,0.4,0.1045,178
0,1,1,0.19699999999999998,0.4,0.2239,155
0,1,1,0.1667,0.47,0.1642,95
0,1,1,0.1667,0.5,0.1642,74
0,1,1,0.1364,0.59,0.19399999999999998,38
0,1,1,0.1515,0.59,0.1642,24
0,1,1,0.1515,0.59,0.1642,18
0,1,1,0.1667,0.59,0.1045,12
0,1,1,0.1515,0.59,0.1642,3
0,1,2,0.1515,0.55,0.19399999999999998,3
0,1,2,0.1818,0.55,0.1343,6
0,1,2,0.1818,0.55,0.1343,27
0,1,2,0.2273,0.55,0.0,99
0,1,2,0.2121,0.51,0.0896,217
0,1,2,0.19699999999999998,0.51,0.1642,130
0,1,2,0.2121,0.51,0.1642,54
0,1,2,0.2121,0.47,0.1343,35
0,1,2,0.2273,0.51,0.1045,57
0,1,2,0.2273,0.59,0.0896,52
0,1,2,0.2273,0.59,0.0896,63
0,1,2,0.19699999999999998,0.8,0.0896,47
0,1,2,0.1515,0.86,0.2239,76
0,1,2,0.1515,0.86,0.2239,136
0,1,3,0.1818,0.93,0.1045,95
0,1,3,0.2273,0.93,0.0,51
0,1,3,0.1515,0.93,0.19399999999999998,32
0,1,3,0.19699999999999998,0.86,0.0896,20
0,1,3,0.1818,0.93,0.1045,29
0,1,3,0.19699999999999998,0.93,0.0896,19
0,1,2,0.19699999999999998,0.86,0.0896,7
0,1,2,0.1818,0.86,0.1045,6
0,1,1,0.1515,0.86,0.1343,1
0,1,1,0.1515,0.86,0.1642,5
0,1,1,0.1515,0.93,0.1343,16
0,1,1,0.1515,0.69,0.1343,54
0,1,1,0.1667,0.59,0.1642,128
0,1,1,0.1364,0.59,0.3284,81
0,1,1,0.1818,0.55,0.2239,39
0,1,1,0.1818,0.51,0.3881,35
0,1,1,0.1515,0.47,0.5821,55
0,1,1,0.19699999999999998,0.44,0.3582,49
0,1,1,0.1818,0.47,0.3284,44
0,1,1,0.1667,0.47,0.4179,49
0,1,1,0.19699999999999998,0.44,0.3284,68
0,1,1,0.1818,0.47,0.3582,139
0,1,1,0.1515,0.47,0.5224,137
0,1,1,0.1515,0.47,0.4179,83
0,1,1,0.1364,0.5,0.3284,56
0,1,1,0.1364,0.55,0.3284,57
0,1,1,0.1212,0.55,0.4478,33
0,1,1,0.1061,0.59,0.4179,20
0,1,1,0.1212,0.59,0.2836,7
0,1,1,0.1212,0.5,0.2836,2
0,1,1,0.1212,0.5,0.3582,2
0,1,1,0.1212,0.5,0.3284,3
0,1,1,0.1212,0.5,0.2537,4
0,1,1,0.1212,0.5,0.2985,3
0,1,1,0.1515,0.54,0.1343,28
0,1,1,0.1515,0.54,0.1343,72
0,1,1,0.1364,0.5,0.19399999999999998,202
0,1,1,0.1212,0.5,0.3284,139
0,1,2,0.1364,0.5,0.3582,38
0,1,2,0.1667,0.44,0.4478,37
0,1,1,0.1667,0.44,0.4179,52
0,1,1,0.19699999999999998,0.41,0.4478,83
0,1,1,0.19699999999999998,0.41,0.3881,42
0,1,1,0.2121,0.38,0.2985,60
0,1,1,0.2121,0.38,0.3582,78
0,1,1,0.1818,0.4,0.2836,162
0,1,1,0.1818,0.4,0.3284,144
0,1,1,0.1515,0.47,0.2537,99
0,1,1,0.1515,0.47,0.2239,64
0,1,1,0.1212,0.46,0.2985,40
0,1,1,0.1212,0.46,0.3284,30
0,1,1,0.1364,0.5,0.19399999999999998,15
0,1,1,0.1364,0.5,0.19399999999999998,14
0,1,1,0.1212,0.54,0.1642,5
0,1,1,0.1212,0.54,0.1343,1
0,1,1,0.1364,0.54,0.1045,1
0,1,1,0.1364,0.54,0.0896,8
0,1,1,0.1818,0.54,0.0,17
0,1,1,0.1212,0.74,0.1642,70
0,1,1,0.1667,0.68,0.0,158
0,1,1,0.1515,0.69,0.1343,117
0,1,1,0.1818,0.55,0.19399999999999998,44
0,1,1,0.1667,0.51,0.2836,53
0,1,1,0.19699999999999998,0.44,0.2537,61
0,1,1,0.19699999999999998,0.37,0.3881,77
0,1,1,0.2121,0.41,0.2836,64
0,1,1,0.2424,0.38,0.1642,68
0,1,1,0.2424,0.41,0.1045,90
0,1,1,0.2273,0.41,0.1642,159
0,1,1,0.2576,0.47,0.0,139
0,1,1,0.19699999999999998,0.59,0.0896,92
0,1,1,0.2424,0.59,0.0,68
0,1,1,0.2273,0.69,0.0,52
0,1,2,0.2273,0.69,0.0,36
0,1,2,0.2424,0.55,0.0,27
0,0,1,0.2424,0.55,0.0,28
0,0,2,0.19699999999999998,0.59,0.0896,20
0,0,2,0.19699999999999998,0.59,0.0896,12
0,0,2,0.2273,0.59,0.0,8
0,0,2,0.2273,0.59,0.0,5
0,0,1,0.2273,0.59,0.0,1
0,0,1,0.1667,0.63,0.1045,3
0,0,1,0.2121,0.63,0.0,10
0,0,1,0.1515,0.63,0.1343,23
0,0,1,0.1818,0.64,0.1343,33
0,0,1,0.19699999999999998,0.59,0.1642,59
0,0,1,0.19699999999999998,0.55,0.2239,72
0,0,1,0.2273,0.48,0.2239,89
0,0,1,0.2576,0.38,0.2985,101
0,0,1,0.2879,0.39,0.2836,118
0,0,2,0.3182,0.36,0.19399999999999998,129
0,0,2,0.3333,0.34,0.19399999999999998,128
0,0,2,0.303,0.36,0.2836,83
0,0,2,0.2879,0.45,0.2537,84
0,0,2,0.303,0.39,0.2537,74
0,0,2,0.303,0.39,0.2537,41
0,0,2,0.303,0.39,0.2239,57
0,0,2,0.3182,0.42,0.1045,26
0,0,1,0.2879,0.45,0.2836,44
0,0,1,0.303,0.56,0.0,39
0,0,1,0.2727,0.56,0.1343,23
0,0,1,0.2879,0.56,0.0896,16
0,0,1,0.2727,0.69,0.0,15
0,0,1,0.2576,0.56,0.1642,1
0,0,2,0.2576,0.56,0.1642,2
0,0,2,0.2576,0.56,0.1642,1
0,0,2,0.2121,0.56,0.2985,3
0,0,1,0.2121,0.55,0.2836,18
0,0,1,0.2121,0.51,0.2537,32
0,0,1,0.2121,0.51,0.2836,79
0,0,1,0.2273,0.44,0.2537,93
0,0,1,0.2121,0.41,0.2836,104
0,0,1,0.2273,0.35,0.2985,118
0,0,1,0.2727,0.36,0.2537,91
0,0,1,0.2424,0.38,0.2537,113
0,0,1,0.2273,0.38,0.2239,99
0,0,1,0.2121,0.37,0.2537,105
0,0,1,0.2121,0.4,0.1642,67
0,0,1,0.19699999999999998,0.47,0.1343,61
0,0,1,0.19699999999999998,0.47,0.1642,57
0,0,1,0.19699999999999998,0.51,0.1642,28
0,0,2,0.2121,0.49,0.1343,21
0,0,2,0.2273,0.4,0.1045,18
1,0,2,0.19699999999999998,0.47,0.2239,17
1,0,2,0.19699999999999998,0.44,0.19399999999999998,16
1,0,2,0.1667,0.43,0.2537,8
1,0,2,0.1818,0.43,0.19399999999999998,2
1,0,2,0.19699999999999998,0.43,0.1343,3
1,0,2,0.19699999999999998,0.43,0.1642,1
1,0,2,0.1818,0.43,0.19399999999999998,5
1,0,2,0.1818,0.5,0.1343,13
1,0,2,0.1515,0.47,0.2239,33
1,0,2,0.1515,0.47,0.2239,47
1,0,2,0.1515,0.5,0.2537,57
1,0,2,0.1515,0.55,0.19399999999999998,64
1,0,2,0.19699999999999998,0.47,0.1343,80
1,0,2,0.19699999999999998,0.47,0.1343,93
1,0,2,0.2121,0.43,0.1045,86
1,0,2,0.2121,0.47,0.1642,93
1,0,2,0.2121,0.47,0.1642,82
1,0,1,0.19699999999999998,0.51,0.19399999999999998,71
1,0,2,0.1667,0.55,0.2537,92
1,0,3,0.1818,0.59,0.19399999999999998,60
1,0,3,0.1515,0.8,0.19399999999999998,33
1,0,3,0.1515,0.8,0.19399999999999998,27
1,0,3,0.1212,0.93,0.2537,13
1,0,3,0.1364,0.86,0.2836,4
0,1,2,0.1818,0.86,0.3284,3
0,1,2,0.19699999999999998,0.86,0.2239,22
0,1,2,0.2273,0.8,0.1642,28
0,1,2,0.2273,0.87,0.1642,35
0,1,2,0.2273,0.87,0.19399999999999998,61
0,1,2,0.2273,0.82,0.19399999999999998,125
0,1,2,0.2273,0.8,0.1642,133
0,1,2,0.2273,0.8,0.1343,99
0,1,2,0.2727,0.87,0.0,83
0,1,2,0.2424,0.93,0.1045,41
0,1,2,0.2576,0.93,0.0896,33
0,1,2,0.2727,0.93,0.0,20
0,1,2,0.2727,0.93,0.0,3
0,1,3,0.2273,0.93,0.1343,7
0,1,3,0.2273,0.93,0.1343,3
0,1,3,0.2273,0.93,0.1343,2
0,1,2,0.2576,0.93,0.0896,7
0,1,2,0.2576,0.93,0.0896,32
0,1,2,0.2576,0.92,0.1045,90
0,1,2,0.2576,0.93,0.1045,197
0,1,2,0.2576,0.93,0.1045,109
0,1,2,0.2727,0.93,0.1343,47
0,1,2,0.303,0.87,0.0896,52
0,1,2,0.3182,0.81,0.0896,70
0,1,1,0.4091,0.62,0.2836,78
0,1,1,0.4091,0.58,0.2537,75
0,1,1,0.4091,0.54,0.2836,82
0,1,1,0.3939,0.58,0.3881,104
0,1,1,0.3333,0.57,0.3284,197
0,1,1,0.3182,0.61,0.2836,161
0,1,1,0.2879,0.57,0.4179,112
0,1,1,0.303,0.49,0.2985,76
0,1,1,0.2879,0.49,0.4179,59
0,1,1,0.303,0.52,0.1642,59
0,1,1,0.2727,0.52,0.4627,28
0,1,1,0.2273,0.56,0.3881,13
0,1,1,0.2727,0.56,0.0,5
0,1,1,0.2727,0.56,0.0,2
0,1,1,0.2576,0.56,0.1642,1
0,1,1,0.2576,0.56,0.1642,1
0,1,1,0.2273,0.6,0.2239,6
0,1,1,0.2121,0.6,0.2239,35
0,1,1,0.2121,0.55,0.2239,101
0,1,1,0.2121,0.55,0.2836,249
0,1,2,0.2273,0.52,0.2239,143
0,1,1,0.2273,0.48,0.2985,57
0,1,2,0.2727,0.45,0.1642,68
0,1,2,0.3333,0.42,0.0,84
0,1,2,0.2879,0.45,0.1045,98
0,1,2,0.303,0.45,0.1343,81
0,1,2,0.3182,0.45,0.19399999999999998,70
0,1,2,0.303,0.49,0.1343,91
0,1,2,0.3182,0.49,0.1045,215
0,1,2,0.2576,0.56,0.19399999999999998,185
0,1,1,0.2273,0.56,0.3284,152
0,1,2,0.2424,0.6,0.2836,126
0,1,2,0.2273,0.6,0.2537,57
0,1,2,0.2121,0.65,0.2836,56
0,1,2,0.2121,0.65,0.3284,31
0,1,2,0.2273,0.7,0.2537,21
0,1,2,0.2273,0.7,0.2537,6
0,1,3,0.2424,0.75,0.1642,2
0,1,3,0.2121,0.8,0.2985,1
0,1,2,0.2576,0.87,0.0896,1
0,1,1,0.19699999999999998,0.6,0.4179,5
0,1,1,0.2121,0.55,0.2537,27
0,1,1,0.1818,0.51,0.2836,68
0,1,1,0.1818,0.47,0.3284,217
0,1,1,0.1818,0.51,0.3582,166
0,1,1,0.1667,0.47,0.4627,63
0,1,1,0.1818,0.41,0.4627,59
0,1,1,0.1818,0.27,0.5821,78
0,1,1,0.1515,0.21,0.5821,73
0,1,1,0.1515,0.25,0.5224,62
0,1,1,0.1212,0.26,0.4478,65
0,1,1,0.1364,0.26,0.3582,97
0,1,1,0.1212,0.28,0.3582,161
0,1,1,0.1212,0.3,0.2537,120
0,1,1,0.1061,0.3,0.3284,96
0,1,1,0.0758,0.33,0.4179,53
0,1,1,0.0758,0.38,0.2836,41
0,1,1,0.0303,0.41,0.3881,34
0,1,1,0.0455,0.38,0.3284,27
0,0,1,0.0303,0.45,0.2537,13
0,0,2,0.0,0.41,0.3881,12
0,0,2,0.0303,0.41,0.2537,11
0,0,2,0.0303,0.41,0.2836,7
0,0,2,0.0152,0.48,0.2985,3
0,0,2,0.0303,0.44,0.2239,2
0,0,1,0.0152,0.44,0.2836,8
0,0,1,0.0,0.44,0.3284,27
0,0,1,0.0303,0.41,0.2537,40
0,0,2,0.0606,0.41,0.1642,53
0,0,2,0.0758,0.38,0.1343,63
0,0,2,0.1061,0.38,0.1045,70
0,0,1,0.1667,0.35,0.0,84
0,0,1,0.1364,0.33,0.1045,75
0,0,1,0.1515,0.28,0.0,103
0,0,1,0.1364,0.28,0.19399999999999998,83
0,0,1,0.19699999999999998,0.28,0.0,67
0,0,1,0.0909,0.35,0.19399999999999998,54
0,0,1,0.1061,0.35,0.1343,59
0,0,1,0.0758,0.45,0.1642,45
0,0,1,0.1061,0.41,0.0896,39
0,0,1,0.1515,0.49,0.0,30
0,0,1,0.0758,0.57,0.1045,33
0,0,1,0.0758,0.57,0.1045,22
0,0,1,0.0758,0.57,0.1045,13
0,0,1,0.0606,0.62,0.1343,18
0,0,1,0.0606,0.62,0.1343,5
0,0,2,0.0758,0.57,0.1045,3
0,0,2,0.0758,0.57,0.1045,1
0,0,1,0.1061,0.58,0.1642,2
0,0,1,0.0758,0.62,0.1642,19
0,0,1,0.0758,0.54,0.3582,28
0,0,1,0.1061,0.46,0.3881,58
0,0,1,0.1364,0.43,0.2239,99
0,0,1,0.1212,0.37,0.4627,116
0,0,1,0.1061,0.33,0.3881,87
0,0,1,0.1364,0.28,0.3582,110
0,0,1,0.1364,0.28,0.3582,77
0,0,1,0.1364,0.26,0.3284,65
0,0,1,0.1061,0.26,0.3881,55
0,0,1,0.1212,0.3,0.2537,49
0,0,1,0.1212,0.3,0.2836,50
0,0,1,0.1061,0.36,0.2537,35
0,0,1,0.1061,0.36,0.19399999999999998,25
0,0,1,0.0909,0.38,0.19399999999999998,28
0,0,1,0.0606,0.41,0.2239,21
0,1,1,0.0606,0.41,0.19399999999999998,7
0,1,1,0.0455,0.45,0.19399999999999998,1
0,1,1,0.0303,0.45,0.2537,1
0,1,1,0.0606,0.48,0.1343,1
0,1,1,0.0606,0.48,0.1343,5
0,1,1,0.0758,0.48,0.0896,15
0,1,1,0.1212,0.48,0.0,84
0,1,1,0.1364,0.49,0.0,177
0,1,1,0.1515,0.41,0.0,102
0,1,1,0.1364,0.42,0.0,40
0,1,1,0.1212,0.46,0.1343,46
0,1,2,0.1364,0.42,0.19399999999999998,63
0,1,2,0.1364,0.43,0.2239,60
0,1,2,0.1364,0.46,0.2239,45
0,1,1,0.1667,0.4,0.1642,57
0,1,1,0.1515,0.47,0.2537,70
0,1,1,0.1212,0.5,0.2537,184
0,1,1,0.1364,0.59,0.19399999999999998,153
0,1,1,0.1515,0.54,0.1642,106
0,1,1,0.1364,0.59,0.19399999999999998,81
0,1,1,0.1515,0.63,0.1642,59
0,1,2,0.1364,0.63,0.2239,35
0,1,2,0.1515,0.64,0.2537,24
0,1,2,0.1364,0.69,0.2836,9
0,1,2,0.1667,0.69,0.1642,5
0,1,1,0.1515,0.69,0.2239,2
0,1,1,0.1667,0.74,0.1045,1
0,1,1,0.1364,0.74,0.2239,9
0,1,1,0.1818,0.74,0.1045,36
0,1,1,0.1515,0.74,0.2239,108
0,1,2,0.1818,0.74,0.1343,238
0,1,2,0.2273,0.64,0.0896,144
0,1,2,0.2424,0.6,0.1045,55
0,1,2,0.2424,0.6,0.1343,61
0,1,2,0.2879,0.56,0.0896,106
0,1,2,0.2727,0.56,0.1343,93
0,1,2,0.3333,0.45,0.0,68
0,1,2,0.3485,0.42,0.0,84
0,1,2,0.3485,0.42,0.0,116
0,1,1,0.3333,0.45,0.0,222
0,1,2,0.3182,0.49,0.0896,225
0,1,2,0.2576,0.65,0.1642,146
0,1,1,0.2273,0.65,0.19399999999999998,119
0,1,1,0.2273,0.65,0.19399999999999998,45
0,1,1,0.2273,0.64,0.1642,53
0,1,2,0.2273,0.64,0.1642,40
0,1,2,0.2273,0.69,0.1343,17
0,1,2,0.2424,0.65,0.1343,5
0,1,3,0.2273,0.69,0.19399999999999998,10
0,1,3,0.1818,0.86,0.2836,1
0,1,3,0.1818,0.86,0.2836,8
0,1,3,0.2121,0.87,0.2985,30
0,1,3,0.2121,0.87,0.2985,72
0,1,3,0.2121,0.87,0.2985,58
0,1,3,0.2121,0.93,0.2836,28
0,1,3,0.19699999999999998,0.93,0.3284,41
0,1,3,0.19699999999999998,0.93,0.3284,48
0,1,3,0.19699999999999998,0.93,0.3284,47
0,1,3,0.19699999999999998,0.93,0.3582,36
0,1,3,0.1818,0.93,0.4627,43
0,1,4,0.19699999999999998,0.93,0.3284,36
0,1,3,0.1818,0.93,0.3582,26
0,1,1,0.2273,0.55,0.19399999999999998,24
0,1,1,0.2424,0.55,0.1045,84
0,1,1,0.2273,0.69,0.0896,104
0,1,1,0.2273,0.69,0.0896,79
0,1,1,0.2121,0.74,0.0896,59
0,1,1,0.2121,0.74,0.0896,38
0,1,1,0.2121,0.74,0.0896,27
0,1,1,0.19699999999999998,0.8,0.1642,16
0,1,2,0.2121,0.75,0.1343,9
0,1,2,0.2121,0.75,0.1343,3
0,1,2,0.2121,0.75,0.1642,2
0,1,2,0.2273,0.75,0.1045,1
0,1,2,0.2121,0.8,0.1045,4
0,1,2,0.19699999999999998,0.8,0.1343,16
0,1,2,0.19699999999999998,0.86,0.0896,60
0,1,2,0.19699999999999998,0.86,0.0896,157
0,1,3,0.2121,0.86,0.0896,101
0,1,3,0.2121,0.86,0.1045,49
0,1,3,0.2121,0.93,0.1045,30
0,1,3,0.2121,0.93,0.1045,29
0,1,3,0.2121,0.93,0.1045,31
0,1,3,0.2727,0.8,0.0,38
0,1,2,0.2576,0.86,0.0,41
0,1,1,0.2727,0.8,0.0,80
0,1,1,0.2424,0.75,0.1343,149
0,1,1,0.2273,0.75,0.19399999999999998,109
0,1,2,0.2424,0.75,0.1343,89
