CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NO2(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),RH,AH,NOx(GT)
2.2,1349.0,8.8,933.0,119.0,933.0,1617.0,1349.0,55.9,0.9314,152.0
1.8,1239.0,7.4,872.0,99.0,985.0,1547.0,1250.0,54.7,0.9164,104.0
1.8,1239.0,6.9,853.0,93.0,1010.0,1543.0,1174.0,57.0,0.9094,106.0
1.8,1224.0,7.0,855.0,88.0,998.0,1566.0,1149.0,61.3,0.9361,108.0
1.1,1078.0,4.4,734.0,109.0,1128.0,1487.0,1021.0,63.5,0.9229999999999999,180.0
1.8,1078.0,4.0,711.0,71.0,1150.0,1468.0,1013.0,65.4,0.9351,66.0
1.0,1075.0,3.9,703.0,74.0,1156.0,1464.0,1010.0,67.4,0.9375,88.0
1.4,1157.0,6.4,830.0,80.0,1030.0,1584.0,1083.0,70.5,0.9475,138.0
2.2,1314.0,9.7,966.0,89.0,897.0,1710.0,1235.0,70.2,0.9401,228.0
5.5,1797.0,25.9,1451.0,114.0,652.0,2323.0,1680.0,63.9,0.917,360.0
8.1,1961.0,36.7,1701.0,149.0,537.0,2665.0,2184.0,54.3,0.9076,478.0
5.8,1771.0,26.6,1470.0,157.0,622.0,2262.0,1973.0,45.6,0.8993,394.0
4.2,1564.0,20.1,1300.0,155.0,710.0,2029.0,1798.0,38.5,0.8801,319.0
3.1,1430.0,14.1,1120.0,134.0,831.0,1783.0,1522.0,34.1,0.8904,201.0
2.9,1417.0,14.9,1146.0,119.0,830.0,1831.0,1404.0,32.2,0.9096,171.0
2.9,1400.0,15.4,1162.0,111.0,838.0,1829.0,1263.0,30.0,0.8757,159.0
2.5,1317.0,12.1,1053.0,104.0,926.0,1707.0,1137.0,28.9,0.8736,153.0
2.3,1318.0,11.5,1033.0,99.0,950.0,1675.0,1068.0,29.4,0.8848,143.0
2.8,1445.0,14.8,1141.0,110.0,857.0,1824.0,1252.0,31.3,0.9137,156.0
6.1,1917.0,32.1,1601.0,162.0,631.0,2447.0,1843.0,35.4,0.9547,314.0
8.0,2040.0,39.2,1754.0,187.0,542.0,2679.0,2122.0,42.5,1.0086,404.0
6.5,1895.0,31.0,1573.0,165.0,565.0,2443.0,1992.0,52.6,1.0945,320.0
4.2,1595.0,19.9,1294.0,145.0,678.0,2058.0,1707.0,57.4,1.0786,256.0
3.2,1439.0,15.3,1159.0,125.0,764.0,1856.0,1494.0,60.2,1.0654,193.0
1.4,1142.0,6.9,852.0,101.0,1008.0,1547.0,1164.0,61.4,1.058,89.0
2.1,1304.0,11.1,1019.0,103.0,852.0,1731.0,1272.0,65.7,1.0494,127.0
1.2,1074.0,5.4,784.0,88.0,1098.0,1483.0,1040.0,60.6,1.0148,79.0
0.8,968.0,2.8,640.0,61.0,1320.0,1386.0,867.0,59.2,0.9879,43.0
0.7,929.0,2.3,608.0,109.0,1376.0,1364.0,826.0,62.1,0.9636,180.0
1.8,941.0,2.6,626.0,59.0,1316.0,1373.0,840.0,66.2,0.945,59.0
0.6,937.0,2.0,585.0,52.0,1412.0,1348.0,793.0,63.2,0.9283,38.0
0.9,1017.0,3.5,681.0,64.0,1246.0,1418.0,870.0,68.5,0.9081,82.0
1.3,1171.0,5.1,770.0,70.0,1162.0,1467.0,930.0,66.5,0.8705,99.0
3.4,1541.0,16.2,1185.0,97.0,770.0,1889.0,1407.0,63.7,0.8719,263.0
3.7,1539.0,19.7,1287.0,95.0,698.0,2055.0,1507.0,56.3,0.8743,229.0
5.3,1735.0,25.1,1431.0,150.0,628.0,2211.0,1843.0,42.9,0.8672,396.0
4.1,1571.0,20.0,1297.0,162.0,730.0,1973.0,1729.0,33.3,0.8417,314.0
3.3,1452.0,18.3,1250.0,154.0,776.0,1868.0,1583.0,27.4,0.8231,217.0
4.0,1579.0,22.3,1359.0,161.0,724.0,1998.0,1671.0,26.1,0.8264,252.0
3.8,1466.0,20.4,1309.0,161.0,773.0,1897.0,1491.0,23.2,0.7589,263.0
2.8,1280.0,14.6,1136.0,128.0,893.0,1675.0,1240.0,20.2,0.7094,180.0
2.9,1407.0,16.6,1197.0,129.0,905.0,1759.0,1313.0,18.6,0.7014,184.0
2.9,1389.0,15.8,1173.0,133.0,898.0,1739.0,1363.0,19.1,0.7098,190.0
3.4,1447.0,17.8,1235.0,139.0,859.0,1778.0,1296.0,25.7,0.7519,184.0
3.9,1551.0,19.1,1271.0,137.0,800.0,1875.0,1432.0,34.8,0.873,181.0
3.2,1474.0,15.8,1173.0,143.0,854.0,1776.0,1432.0,36.7,0.8704,166.0
5.1,1800.0,24.9,1426.0,177.0,700.0,2106.0,2034.0,41.3,0.9007,317.0
2.6,1379.0,13.5,1101.0,138.0,818.0,1710.0,1602.0,45.9,0.9342,184.0
1.7,1201.0,9.1,943.0,117.0,935.0,1560.0,1362.0,48.9,0.9226,130.0
1.7,1205.0,8.6,925.0,107.0,922.0,1547.0,1314.0,52.9,0.9271,132.0
1.2,1072.0,5.4,784.0,90.0,1066.0,1442.0,1114.0,51.9,0.9059,95.0
0.9,998.0,4.1,714.0,79.0,1169.0,1383.0,992.0,55.6,0.8909999999999999,70.0
0.7,933.0,2.6,625.0,109.0,1292.0,1332.0,884.0,57.9,0.8666,180.0
1.8,883.0,1.9,577.0,60.0,1396.0,1303.0,808.0,57.9,0.8447,54.0
0.5,869.0,1.6,554.0,40.0,1460.0,1268.0,667.0,58.0,0.8026,28.0
0.5,891.0,1.9,576.0,53.0,1417.0,1289.0,733.0,57.4,0.7978,46.0
1.6,1173.0,7.5,878.0,84.0,1038.0,1556.0,1052.0,65.2,0.7956,160.0
4.1,1587.0,21.4,1334.0,108.0,702.0,1999.0,1534.0,60.2,0.7958,320.0
6.6,1852.0,36.4,1696.0,127.0,553.0,2535.0,1931.0,50.0,0.802,377.0
4.3,1522.0,21.3,1331.0,134.0,703.0,2026.0,1734.0,40.1,0.8048,280.0
2.9,1438.0,15.4,1161.0,135.0,819.0,1782.0,1595.0,33.4,0.8265,221.0
2.5,1393.0,12.5,1067.0,142.0,905.0,1654.0,1490.0,28.3,0.8471,210.0
2.8,1452.0,15.1,1152.0,153.0,861.0,1747.0,1508.0,25.6,0.8254,204.0
2.6,1389.0,13.7,1108.0,123.0,887.0,1712.0,1334.0,25.9,0.8503,161.0
2.0,1207.0,10.4,994.0,104.0,1013.0,1520.0,1045.0,18.7,0.65,135.0
2.9,1365.0,15.2,1154.0,129.0,940.0,1679.0,1221.0,15.8,0.6309,186.0
2.5,1247.0,12.3,1060.0,114.0,1032.0,1525.0,1069.0,14.9,0.5708,147.0
5.0,1557.0,27.0,1478.0,158.0,793.0,1981.0,1569.0,16.0,0.5237,299.0
7.6,1973.0,38.4,1737.0,194.0,617.0,2414.0,2306.0,26.5,0.7403,411.0
6.7,1975.0,35.1,1667.0,182.0,597.0,2416.0,2359.0,38.2,0.9133,347.0
5.7,1795.0,27.2,1485.0,180.0,653.0,2174.0,2050.0,42.6,0.9294,336.0
2.8,1444.0,15.0,1150.0,136.0,770.0,1727.0,1727.0,44.1,0.8558,202.0
2.6,1488.0,15.7,1171.0,127.0,731.0,1778.0,1705.0,50.9,0.9206,178.0
2.3,1371.0,13.0,1083.0,116.0,796.0,1669.0,1551.0,53.9,0.9024,154.0
1.4,1161.0,8.1,904.0,107.0,947.0,1502.0,1240.0,55.4,0.8975,92.0
1.0,1064.0,5.5,787.0,88.0,1057.0,1407.0,1115.0,52.1,0.8686,61.0
0.7,970.0,3.6,687.0,109.0,1196.0,1351.0,969.0,53.9,0.8501,180.0
1.8,954.0,2.9,645.0,78.0,1260.0,1334.0,925.0,61.9,0.8442,60.0
0.6,931.0,2.5,623.0,57.0,1293.0,1307.0,828.0,58.9,0.8233,37.0
0.7,938.0,3.0,650.0,71.0,1251.0,1333.0,893.0,62.1,0.8113,68.0
1.5,1166.0,7.7,885.0,85.0,1005.0,1551.0,1075.0,63.3,0.8067,139.0
4.7,1643.0,23.3,1384.0,124.0,667.0,2094.0,1610.0,60.0,0.8117,339.0
6.6,1934.0,35.8,1682.0,151.0,541.0,2468.0,2051.0,50.6,0.8186,421.0
4.5,1617.0,21.3,1333.0,150.0,686.0,2010.0,1819.0,40.5,0.821,349.0
2.8,1473.0,14.3,1127.0,152.0,831.0,1752.0,1568.0,34.4,0.8365,224.0
2.2,1379.0,12.5,1068.0,139.0,899.0,1663.0,1374.0,28.2,0.8219,171.0
2.2,1385.0,12.2,1056.0,133.0,891.0,1648.0,1268.0,28.7,0.8515,149.0
2.3,1379.0,13.1,1087.0,126.0,901.0,1660.0,1144.0,24.9,0.7829,137.0
2.2,1322.0,14.4,1129.0,128.0,934.0,1639.0,1109.0,17.8,0.6275,149.0
2.8,1496.0,16.8,1205.0,169.0,822.0,1767.0,1347.0,23.1,0.818,172.0
2.7,1409.0,14.5,1131.0,149.0,873.0,1689.0,1206.0,23.9,0.7832,166.0
3.7,1513.0,21.5,1338.0,156.0,764.0,1957.0,1397.0,26.8,0.7446,214.0
5.1,1667.0,26.4,1464.0,168.0,683.0,2118.0,1588.0,31.1,0.7523,280.0
5.1,1667.0,26.0,1453.0,176.0,684.0,2051.0,1569.0,36.2,0.7676,276.0
3.2,1430.0,14.1,1121.0,135.0,814.0,1732.0,1322.0,48.4,0.8768,178.0
2.1,1333.0,10.3,989.0,121.0,885.0,1621.0,1194.0,57.8,0.9456,129.0
1.7,1262.0,8.3,911.0,99.0,948.0,1545.0,1062.0,64.2,0.9606,95.0
2.0,1287.0,8.9,936.0,106.0,918.0,1606.0,1040.0,69.7,0.9735,126.0
1.6,1134.0,6.6,840.0,96.0,1021.0,1501.0,917.0,71.1,0.9915,103.0
0.9,999.0,3.6,688.0,63.0,1229.0,1380.0,594.0,69.3,1.0029,48.0
0.7,961.0,2.5,622.0,109.0,1382.0,1301.0,430.0,67.5,0.9768,180.0
1.8,934.0,1.8,569.0,32.0,1440.0,1280.0,397.0,67.7,0.9665,20.0
0.5,913.0,1.3,525.0,28.0,1620.0,1260.0,370.0,66.8,0.9620000000000001,18.0
0.7,969.0,2.3,607.0,61.0,1373.0,1324.0,438.0,66.3,0.9487,56.0
1.5,1182.0,6.7,845.0,99.0,1054.0,1539.0,704.0,64.9,0.9332,115.0
4.8,1740.0,22.8,1372.0,157.0,671.0,2144.0,1476.0,61.6,0.9209,320.0
6.2,1819.0,31.3,1582.0,166.0,575.0,2456.0,1716.0,58.8,0.912,357.0
4.0,1427.0,19.2,1275.0,149.0,701.0,1980.0,1398.0,57.1,0.9032,253.0
3.3,1390.0,16.4,1191.0,135.0,759.0,1879.0,1268.0,54.4,0.8917,218.0
2.8,1283.0,14.0,1117.0,127.0,813.0,1751.0,1188.0,50.1,0.8744,192.0
3.0,1304.0,15.3,1157.0,122.0,793.0,1801.0,1171.0,47.6,0.8655,176.0
3.3,1364.0,16.7,1202.0,135.0,771.0,1875.0,1250.0,47.1,0.8640000000000001,198.0
3.5,1410.0,19.0,1268.0,139.0,724.0,1957.0,1344.0,47.5,0.8791,212.0
4.0,1476.0,19.4,1280.0,147.0,708.0,1955.0,1378.0,50.2,0.9094,249.0
4.6,1522.0,20.9,1320.0,158.0,690.0,2005.0,1435.0,50.7,0.9142,270.0
4.1,1442.0,20.2,1301.0,146.0,704.0,1952.0,1372.0,50.3,0.8989,231.0
4.5,1469.0,21.7,1344.0,144.0,677.0,1997.0,1471.0,50.6,0.884,251.0
3.9,1467.0,19.8,1292.0,138.0,698.0,1942.0,1439.0,51.4,0.8956,210.0
4.0,1421.0,16.7,1202.0,143.0,748.0,1854.0,1429.0,53.1,0.9117,249.0
2.2,1175.0,9.1,945.0,116.0,904.0,1604.0,1081.0,57.6,0.9573,143.0
2.1,1215.0,8.3,912.0,109.0,948.0,1547.0,993.0,58.3,0.938,127.0
1.7,1127.0,5.8,802.0,92.0,1064.0,1447.0,837.0,57.9,0.9085,104.0
1.6,1090.0,5.2,773.0,83.0,1105.0,1429.0,761.0,55.9,0.8842,86.0
1.3,1017.0,4.1,718.0,81.0,1182.0,1382.0,650.0,55.6,0.8765,74.0
1.3,997.0,3.4,677.0,109.0,1252.0,1359.0,591.0,55.1,0.8666,180.0
1.8,945.0,2.9,646.0,55.0,1308.0,1332.0,505.0,54.6,0.8574,44.0
0.8,956.0,3.1,661.0,53.0,1260.0,1351.0,518.0,55.1,0.856,42.0
0.8,966.0,2.5,622.0,67.0,1317.0,1342.0,571.0,59.0,0.9129,63.0
1.1,1064.0,4.3,728.0,91.0,1161.0,1461.0,842.0,58.4,0.8959999999999999,115.0
2.1,1300.0,8.9,935.0,113.0,902.0,1623.0,1145.0,58.0,0.9083,170.0
2.4,1348.0,10.5,998.0,102.0,834.0,1689.0,1218.0,53.1,0.8765,147.0
2.6,1425.0,12.5,1068.0,107.0,776.0,1764.0,1341.0,52.3,0.8881,166.0
2.8,1474.0,12.3,1061.0,113.0,768.0,1768.0,1406.0,52.1,0.9046,195.0
2.6,1490.0,11.7,1039.0,108.0,782.0,1757.0,1422.0,50.0,0.9158,182.0
2.6,1495.0,11.7,1040.0,105.0,809.0,1735.0,1373.0,47.9,0.9281,168.0
2.1,1376.0,9.3,953.0,93.0,900.0,1636.0,1153.0,42.9,0.937,125.0
1.7,1305.0,7.6,884.0,87.0,980.0,1573.0,927.0,42.3,0.9476,95.0
1.6,1283.0,6.7,844.0,76.0,1036.0,1539.0,766.0,42.3,0.9493,79.0
2.1,1392.0,9.7,967.0,94.0,930.0,1649.0,941.0,43.8,0.9556,119.0
2.3,1452.0,12.4,1063.0,110.0,856.0,1774.0,1146.0,46.3,0.9744,142.0
3.5,1633.0,16.6,1199.0,136.0,734.0,1919.0,1417.0,51.6,1.0159,215.0
3.9,1625.0,16.4,1191.0,139.0,733.0,1885.0,1442.0,51.3,0.9914,229.0
3.3,1535.0,13.7,1108.0,125.0,785.0,1820.0,1323.0,53.8,0.9964,206.0
2.3,1323.0,9.9,973.0,111.0,864.0,1712.0,1125.0,55.4,1.0132,147.0
2.1,1309.0,8.9,937.0,97.0,905.0,1672.0,1036.0,57.7,1.0356,122.0
2.8,1456.0,10.6,999.0,107.0,835.0,1714.0,1202.0,58.6,1.0396,175.0
2.1,1300.0,7.4,872.0,90.0,941.0,1577.0,1054.0,60.9,1.0398,133.0
1.6,1203.0,6.2,823.0,84.0,1004.0,1526.0,903.0,56.6,0.9951,89.0
1.6,1195.0,6.5,836.0,109.0,987.0,1554.0,885.0,57.9,0.9941,180.0
1.8,1117.0,5.8,802.0,87.0,1029.0,1539.0,818.0,57.8,1.0021,85.0
1.1,1062.0,4.0,711.0,66.0,1136.0,1461.0,700.0,60.6,1.0196,55.0
0.7,947.0,2.1,594.0,36.0,1300.0,1390.0,580.0,63.0,1.0316,24.0
0.8,1065.0,3.6,687.0,62.0,1143.0,1492.0,815.0,66.2,1.063,72.0
1.2,1155.0,4.4,734.0,91.0,1062.0,1528.0,1035.0,65.3,1.0704,122.0
1.4,1220.0,5.4,782.0,89.0,996.0,1560.0,1067.0,62.1,1.073,111.0
1.7,1301.0,7.1,862.0,93.0,914.0,1633.0,1114.0,59.0,1.0868,123.0
1.8,1279.0,7.3,870.0,81.0,911.0,1646.0,1000.0,49.6,1.07,106.0
1.8,1267.0,7.6,883.0,82.0,953.0,1617.0,906.0,46.1,1.0249,103.0
1.9,1239.0,6.8,848.0,80.0,981.0,1568.0,822.0,41.6,1.0091,102.0
1.3,1128.0,4.6,742.0,48.0,1144.0,1507.0,610.0,40.3,1.0126,48.0
1.6,1243.0,8.4,916.0,61.0,962.0,1669.0,657.0,39.3,0.9791,63.0
1.9,1208.0,6.9,853.0,89.0,1060.0,1506.0,647.0,38.0,0.8942,98.0
2.3,1306.0,9.0,938.0,105.0,961.0,1607.0,762.0,41.3,0.9206,132.0
3.8,1546.0,15.1,1151.0,116.0,769.0,1874.0,1122.0,43.8,0.9252,173.0
3.5,1501.0,12.6,1071.0,119.0,823.0,1744.0,1130.0,48.1,0.9689,185.0
4.3,1605.0,15.1,1153.0,144.0,769.0,1840.0,1637.0,46.9,0.9520000000000001,266.0
2.8,1316.0,9.9,974.0,123.0,883.0,1673.0,1272.0,49.1,0.9688,188.0
1.9,1195.0,8.0,898.0,105.0,933.0,1594.0,1098.0,51.7,0.9914,122.0
1.9,1211.0,7.9,896.0,93.0,920.0,1624.0,1066.0,55.1,1.0198,112.0
1.7,1161.0,6.1,815.0,86.0,995.0,1582.0,909.0,60.0,1.0919,93.0
1.5,1095.0,5.1,767.0,76.0,1050.0,1547.0,818.0,60.5,1.0805,74.0
0.6,897.0,1.7,563.0,33.0,1417.0,1355.0,472.0,57.0,1.0491,23.0
0.4,842.0,0.7,468.0,109.0,1813.0,1274.0,394.0,53.9,1.0309,180.0
1.8,854.0,0.8,481.0,27.0,1756.0,1304.0,396.0,55.9,1.0153,17.0
0.3,845.0,0.7,472.0,23.0,1786.0,1278.0,378.0,53.9,1.0049,15.0
0.6,942.0,2.0,586.0,46.0,1480.0,1373.0,432.0,54.0,0.9979,41.0
1.2,1090.0,5.1,768.0,76.0,1072.0,1538.0,699.0,57.6,1.0195,86.0
3.6,1514.0,17.7,1230.0,116.0,732.0,1996.0,1252.0,53.7,0.9571,226.0
3.7,1379.0,18.4,1252.0,115.0,711.0,1962.0,1237.0,42.1,0.8281,214.0
1.8,1074.0,6.9,854.0,83.0,1032.0,1484.0,772.0,38.4,0.7793,115.0
1.6,1090.0,7.3,868.0,87.0,1026.0,1509.0,766.0,36.7,0.7764,124.0
1.9,1110.0,9.6,964.0,90.0,947.0,1577.0,829.0,29.6,0.7263,122.0
2.0,1102.0,10.4,994.0,87.0,955.0,1599.0,783.0,28.1,0.7067,107.0
2.2,1100.0,11.2,1021.0,99.0,952.0,1607.0,822.0,26.1,0.6539,133.0
2.1,1094.0,10.7,1003.0,99.0,965.0,1574.0,813.0,26.8,0.6681,130.0
2.3,1076.0,11.6,1034.0,101.0,964.0,1544.0,813.0,24.2,0.606,150.0
2.6,1152.0,12.4,1062.0,103.0,928.0,1606.0,850.0,28.5,0.6682,138.0
3.8,1407.0,18.3,1249.0,129.0,720.0,1932.0,1276.0,43.1,0.8264,213.0
4.4,1438.0,21.0,1325.0,143.0,678.0,1993.0,1401.0,47.4,0.8347,232.0
4.5,1425.0,21.0,1325.0,146.0,678.0,1965.0,1356.0,47.4,0.8178,238.0
3.3,1279.0,14.5,1131.0,124.0,775.0,1758.0,1243.0,49.7,0.8177,180.0
2.0,1132.0,8.4,916.0,113.0,920.0,1561.0,1083.0,52.0,0.8231,128.0
1.1,1006.0,4.3,729.0,80.0,1142.0,1370.0,795.0,49.4,0.8106,65.0
0.9,982.0,3.8,700.0,72.0,1204.0,1359.0,735.0,51.4,0.8071,53.0
0.8,969.0,2.7,636.0,64.0,1271.0,1309.0,684.0,51.3,0.8163,47.0
0.7,941.0,2.5,621.0,70.0,1298.0,1330.0,714.0,56.8,0.8444,51.0
0.5,892.0,1.2,522.0,109.0,1522.0,1285.0,456.0,70.0,0.9215,180.0
1.8,855.0,0.8,478.0,31.0,1701.0,1261.0,401.0,76.8,0.9483,20.0
0.3,834.0,0.6,459.0,22.0,1908.0,1212.0,361.0,80.5,0.9147,13.0
0.5,909.0,1.8,567.0,47.0,1542.0,1287.0,418.0,75.4,0.9004,33.0
1.1,1061.0,4.6,745.0,88.0,1178.0,1429.0,616.0,75.0,0.9093,103.0
3.0,1441.0,14.2,1124.0,130.0,851.0,1829.0,1089.0,74.2,0.9117,224.0
3.8,1498.0,21.0,1325.0,132.0,684.0,2095.0,1329.0,69.7,0.9232,244.0
3.4,1343.0,16.2,1185.0,132.0,760.0,1857.0,1311.0,62.9,0.8803,237.0
3.0,1308.0,15.5,1166.0,131.0,792.0,1794.0,1236.0,55.8,0.821,220.0
2.7,1209.0,13.4,1097.0,129.0,837.0,1746.0,1147.0,54.8,0.8234,207.0
3.5,1310.0,16.9,1207.0,132.0,770.0,1847.0,1301.0,53.4,0.8351,208.0
2.8,1171.0,12.4,1064.0,110.0,881.0,1639.0,1097.0,42.4,0.7674,160.0
1.9,1112.0,10.1,980.0,99.0,924.0,1589.0,900.0,49.8,0.7971,131.0
2.0,1132.0,8.7,927.0,100.0,944.0,1570.0,781.0,61.1,0.8537,128.0
3.0,1225.0,13.8,1111.0,122.0,818.0,1719.0,1013.0,54.6,0.8465,176.0
1.9,1065.0,9.3,953.0,97.0,962.0,1514.0,790.0,49.5,0.7695,107.0
2.7,1236.0,13.0,1084.0,112.0,854.0,1688.0,1059.0,57.1,0.7822,131.0
3.3,1309.0,14.3,1126.0,128.0,812.0,1722.0,1205.0,58.2,0.7867,166.0
1.7,1089.0,7.6,884.0,101.0,1006.0,1487.0,975.0,54.2,0.7881,89.0
1.3,1000.0,5.3,776.0,96.0,1141.0,1375.0,896.0,54.9,0.7664,81.0
1.3,1041.0,5.4,782.0,86.0,1105.0,1425.0,911.0,61.4,0.8057,78.0
1.2,1045.0,4.9,756.0,85.0,1137.0,1411.0,902.0,62.2,0.8199,70.0
1.1,997.0,4.6,744.0,79.0,1151.0,1405.0,832.0,62.5,0.8082,76.0
0.9,948.0,2.7,634.0,61.0,1320.0,1326.0,715.0,60.0,0.8025,43.0
0.6,878.0,1.6,551.0,109.0,1493.0,1272.0,683.0,61.6,0.7856,180.0
1.8,908.0,1.7,559.0,66.0,1477.0,1287.0,721.0,62.7,0.7813,44.0
0.6,892.0,1.2,522.0,54.0,1572.0,1255.0,648.0,58.6,0.7628,34.0
0.8,954.0,1.7,561.0,57.0,1496.0,1255.0,612.0,57.2,0.7382,43.0
1.2,1045.0,4.8,751.0,75.0,1186.0,1403.0,800.0,59.2,0.7455,79.0
3.1,1383.0,13.8,1109.0,97.0,832.0,1706.0,1173.0,57.3,0.7501,174.0
4.4,1597.0,23.7,1395.0,110.0,652.0,2080.0,1519.0,56.9,0.7565,235.0
3.4,1318.0,14.2,1124.0,113.0,762.0,1770.0,1287.0,54.9,0.7734,218.0
1.7,1138.0,8.0,898.0,88.0,950.0,1505.0,966.0,44.3,0.7535,136.0
1.5,1098.0,6.7,842.0,85.0,1012.0,1440.0,828.0,40.6,0.7146,117.0
1.7,1118.0,8.7,927.0,96.0,959.0,1477.0,825.0,34.6,0.6597,119.0
2.2,1170.0,10.8,1009.0,106.0,879.0,1566.0,872.0,35.6,0.6697,126.0
1.8,1112.0,6.7,842.0,91.0,1015.0,1494.0,680.0,63.9,0.8554,100.0
2.7,1390.0,11.4,1028.0,126.0,829.0,1730.0,1002.0,81.1,0.972,197.0
2.8,1353.0,13.4,1096.0,130.0,774.0,1783.0,1159.0,69.1,0.9497,195.0
2.7,1260.0,12.0,1050.0,111.0,828.0,1722.0,979.0,68.5,0.8794,156.0
4.5,1501.0,20.2,1302.0,134.0,681.0,2008.0,1311.0,67.3,0.8643,247.0
3.5,1273.0,14.4,1130.0,136.0,795.0,1744.0,1071.0,65.7,0.8486,190.0
